UTC,PCTime,cruise_number,acoustic_observer,ac_effort,vis_effort,ot_effort
5/24/2013 18:27,5/24/2013 18:27,1303,YB,on,vch,S
5/24/2013 19:13,5/24/2013 19:13,1303,JT,off,off,S
5/24/2013 19:14,5/24/2013 19:14,1303,JT,on,off,S
5/24/2013 19:17,5/24/2013 19:17,1303,JT,on,on,S
5/24/2013 21:14,5/24/2013 21:14,1303,SC,on,on,S
5/24/2013 21:25,5/24/2013 21:25,1303,SC,on,vch,S
5/24/2013 22:13,5/24/2013 22:13,1303,SC,on,vch,S
5/24/2013 22:26,5/24/2013 22:26,1303,SC,on,vch,S
5/24/2013 23:01,5/24/2013 23:01,1303,JT,on,vch,S
5/25/2013 0:12,5/25/2013 0:12,1303,YB,on,vch,S
5/25/2013 1:00,5/25/2013 1:00,1303,JT,on,vch,S
5/25/2013 1:56,5/25/2013 1:56,1303,JT,on,off,S
5/25/2013 2:00,5/25/2013 2:00,1303,JT,off,off,S
5/25/2013 2:05,5/25/2013 2:05,1303,JT,on,off,S
5/25/2013 2:17,5/25/2013 2:17,1303,JT,off,off,S
5/25/2013 2:19,5/25/2013 2:19,1303,JT,on,off,S
5/25/2013 2:31,5/25/2013 2:31,1303,JT,on,on,S
5/25/2013 3:01,5/25/2013 3:01,1303,PR,on,on,S
5/25/2013 3:09,5/25/2013 3:09,1303,PR,on,vch,S
5/25/2013 3:13,5/25/2013 3:13,1303,PR,on,on,S
5/25/2013 4:48,5/25/2013 4:48,1303,PR,on,vch,S
5/25/2013 4:49,5/25/2013 4:49,1303,PR,on,ach,S
5/25/2013 4:52,5/25/2013 4:52,1303,SC,on,ach,S
5/25/2013 5:06,5/25/2013 5:06,1303,SC,off,ach,S
5/25/2013 5:13,5/25/2013 5:13,1303,SC,on,ach,S
5/25/2013 5:35,5/25/2013 5:35,1303,YB,on,off,S
5/25/2013 5:37,5/25/2013 5:37,1303,YB,off,off,S
5/25/2013 5:41,5/25/2013 5:41,1303,YB,on,on,S
5/25/2013 6:08,5/25/2013 6:08,1303,YB,off,on,S
5/25/2013 6:10,5/25/2013 6:10,1303,YB,on,on,S
5/25/2013 6:14,5/25/2013 6:14,1303,YB,off,off,S
5/25/2013 16:37,5/25/2013 16:37,1303,PR,off,off,S
5/25/2013 16:40,5/25/2013 16:42,1303,PR,on,off,S
5/25/2013 16:53,5/25/2013 16:53,1303,PR,on,on,S
5/25/2013 17:38,5/25/2013 17:38,1303,PR,on,off,S
5/25/2013 17:45,5/25/2013 17:45,1303,PR,on,on,S
5/25/2013 17:49,5/25/2013 17:49,1303,PR,on,on,S
5/25/2013 18:08,5/25/2013 18:08,1303,SC,on,on,S
5/25/2013 18:15,5/25/2013 18:15,1303,SC,on,vch,S
5/25/2013 18:15,5/25/2013 18:15,1303,SC,on,vch,S
5/25/2013 18:55,5/25/2013 18:55,1303,SC,on,vch,S
