survey,acid,ID,UTC,peak,itrk,type,lat,lon,pdist
1706,195,1706_195,8/24/2017 17:07,B,1,max,28.18495711,-171.4901761,10721
1706,199,1706_199,8/25/2017 2:17,B,1,max,27.81830161,-170.2229463,8034
1706,2,1706_2,7/8/2017 1:47,B,1,max,21.57690001,-160.7425578,15705
1706,204,1706_204,8/25/2017 17:53,B,1,max,27.19016321,-168.2803077,-9406
1706,228,1706_228,8/30/2017 23:11,B,1,max,24.84423841,-157.1006512,-15793
1706,236,1706_236,9/1/2017 18:56,B,1,max,22.75971565,-155.9947773,-15793
1706,299,1706_299,9/22/2017 0:58,B,1,max,26.48158264,179.0896917,14443
1706,325,1706_325,9/30/2017 22:58,B,1,max,26.65073174,-172.2120119,5713
1706,327,1706_327,10/1/2017 0:46,B,1,max,26.36393782,-171.9912802,-2328
1706,41,1706_41,7/15/2017 15:38,B,1,max,20.64182472,-155.4824399,-5488
1706,49,1706_49,7/16/2017 1:50,B,1,max,21.4340153,-156.483335,-328
1706,54,1706_54,7/17/2017 3:39,B,1,max,22.3520139,-158.0614409,13780
1706,62,1706_62,7/19/2017 1:24,B,1,max,23.76621265,-163.3677827,13759
1706,85,1706_85,7/24/2017 0:53,B,1,max,25.39794333,-173.502011,4468
1706,94,1706_94,7/25/2017 1:51,B,1,max,24.14726163,-172.3677767,-12829
